epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.6371,1.82472,3.08361,1.73725,0.59563,0.43402,0.40478,0.21,1.95054,3.16245,1.79781,0.00030091,0.00030091,0.00030091
2,62.542,1.68325,2.09729,1.611,0.57538,0.42561,0.40408,0.19795,2.02132,2.91368,2.00486,0.000583981,0.000583981,0.000583981
3,88.9596,1.68003,1.92762,1.59631,0.59331,0.43197,0.40259,0.18902,1.94389,2.99581,1.81512,0.000847054,0.000847054,0.000847054
4,115.26,1.65526,1.80479,1.58482,0.71112,0.46358,0.48979,0.26099,1.93937,2.62589,1.7585,0.000819009,0.000819009,0.000819009
5,141.764,1.61401,1.69886,1.55847,0.75984,0.48121,0.55207,0.28837,1.91089,2.52263,1.83114,0.000789012,0.000789012,0.000789012
6,168.064,1.55671,1.55331,1.51842,0.76105,0.4771,0.54656,0.28468,1.97785,2.58894,1.90346,0.000759015,0.000759015,0.000759015
7,194.431,1.53439,1.4908,1.50058,0.54179,0.55433,0.56025,0.30864,1.856,2.4674,1.70982,0.000729018,0.000729018,0.000729018
8,221.03,1.49508,1.40251,1.46659,0.4932,0.55707,0.54978,0.309,1.81984,2.62058,1.72517,0.000699021,0.000699021,0.000699021
9,247.577,1.48468,1.38564,1.46786,0.56436,0.50334,0.56395,0.31886,1.84585,2.44998,1.70122,0.000669024,0.000669024,0.000669024
10,274.238,1.44335,1.29129,1.43387,0.65559,0.56945,0.63262,0.36433,1.77374,2.41949,1.65138,0.000639027,0.000639027,0.000639027
11,300.803,1.43002,1.28251,1.42332,0.62747,0.53439,0.59781,0.34378,1.78526,2.57404,1.72011,0.00060903,0.00060903,0.00060903
12,327.272,1.40043,1.22163,1.39949,0.66405,0.5875,0.65766,0.38314,1.8034,2.38953,1.69172,0.000579033,0.000579033,0.000579033
13,353.738,1.38232,1.1833,1.39035,0.67387,0.53013,0.61533,0.36697,1.78373,2.37704,1.66601,0.000549036,0.000549036,0.000549036
14,380.032,1.37733,1.14648,1.37525,0.76491,0.57714,0.60958,0.36357,1.77073,2.46605,1.73474,0.000519039,0.000519039,0.000519039
15,406.406,1.34585,1.11279,1.35245,0.74658,0.60811,0.61075,0.36267,1.79859,2.36522,1.75615,0.000489042,0.000489042,0.000489042
16,432.785,1.33647,1.08679,1.35191,0.77053,0.58841,0.62989,0.38589,1.78722,2.29703,1.67812,0.000459045,0.000459045,0.000459045
17,459.452,1.32049,1.07233,1.34249,0.72141,0.61497,0.63559,0.38293,1.73567,2.30247,1.74708,0.000429048,0.000429048,0.000429048
18,485.778,1.29271,1.02576,1.31631,0.83226,0.58475,0.6451,0.37814,1.75353,2.28668,1.70628,0.000399051,0.000399051,0.000399051
19,512.185,1.27473,1.01285,1.31653,0.79654,0.60184,0.6533,0.40204,1.78493,2.3403,1.72052,0.000369054,0.000369054,0.000369054
20,538.635,1.25342,0.97561,1.2974,0.79937,0.62528,0.68023,0.41174,1.75012,2.29551,1.69085,0.000339057,0.000339057,0.000339057
21,566.472,1.21493,0.86187,1.28656,0.81422,0.6147,0.65649,0.40579,1.7114,2.1884,1.63924,0.00030906,0.00030906,0.00030906
22,592.455,1.17885,0.81663,1.26197,0.80468,0.6504,0.6775,0.42804,1.69486,2.0994,1.67083,0.000279063,0.000279063,0.000279063
23,618.5,1.16434,0.78312,1.24775,0.77148,0.60108,0.6511,0.41429,1.69403,2.12638,1.67164,0.000249066,0.000249066,0.000249066
24,644.477,1.12765,0.74364,1.22709,0.81723,0.6324,0.67883,0.42441,1.70765,2.15317,1.65008,0.000219069,0.000219069,0.000219069
25,670.485,1.12065,0.72899,1.22336,0.83033,0.6089,0.67879,0.41623,1.71463,2.15062,1.66049,0.000189072,0.000189072,0.000189072
26,696.509,1.08919,0.69975,1.20483,0.79079,0.63604,0.68809,0.43379,1.67047,2.06609,1.6486,0.000159075,0.000159075,0.000159075
27,722.674,1.06868,0.67749,1.18621,0.79999,0.64722,0.68074,0.43082,1.70291,2.11654,1.66042,0.000129078,0.000129078,0.000129078
28,748.732,1.04945,0.65394,1.17408,0.80991,0.65653,0.68074,0.42549,1.68731,2.11771,1.66768,9.9081e-05,9.9081e-05,9.9081e-05
29,774.695,1.02814,0.63738,1.15012,0.81835,0.62719,0.67216,0.42588,1.6824,2.11727,1.6587,6.9084e-05,6.9084e-05,6.9084e-05
30,800.583,1.00975,0.62644,1.14111,0.8467,0.62423,0.68407,0.43269,1.701,2.11685,1.67205,3.9087e-05,3.9087e-05,3.9087e-05
